############### Game theory approach #################
max_gen : 5000
Instance : Seattle
Epsilon : 0.1
Temps d'execution : 7811.97 ms
 ========Hypervolume====
 HV % :91.5625
 ========================
(IC best ; SC best) : 7890.12 ; 0
 Min Nash :   0 : se trouve à la position 174
 ============================
########################################################
Le nombre de solutions trouvées : 1. Ces solutions sont : 
 (IC ; SC) : 7890.12 ; 20
#########################

......Les valeurs de nash pour Tout l'ensemble des solutions...

Num Sol, NASHEJ[k] , Interf cost , Sep cost 

..........................

0 , 0.177897 , 9293.74 , 69
1 , 0.195166 , 9430 , 15
2 , 0.14604 , 9042.39 , 72
3 , 0.117366 , 8816.15 , 73
4 , 0.219252 , 9620.04 , 12
5 , 0.269067 , 10013.1 , 4
6 , 0.267027 , 9996.99 , 0
7 , 0.180695 , 9315.82 , 17
8 , 0.173977 , 9262.81 , 64
9 , 5.7018 , 52878 , 0
10 , 0.226735 , 9679.08 , 2
11 , 0.935151 , 15268.6 , 0
12 , 0.193756 , 9418.87 , 78
13 , 0.235945 , 9751.75 , 10
14 , 0.0972182 , 8657.18 , 55
15 , 0.202898 , 9491 , 65
16 , 5.67183 , 52641.5 , 0
17 , 0.358755 , 10720.7 , 1
18 , 0.225883 , 9672.36 , 18
19 , 0.195631 , 9433.67 , 70
20 , 1.95066 , 23281 , 1
21 , 0.176532 , 9282.98 , 4
22 , 1.43063 , 19178 , 0
23 , 0.184882 , 9348.86 , 54
24 , 0.269742 , 10018.4 , 71
25 , 0.299667 , 10254.5 , 1
26 , 0.154549 , 9109.52 , 60
27 , 0.196796 , 9442.86 , 56
28 , 0.251523 , 9874.66 , 1
29 , 0.18446 , 9345.53 , 73
30 , 0.209543 , 9543.43 , 70
31 , 0.293592 , 10206.6 , 0
32 , 5.90252 , 54461.7 , 0
33 , 0.152345 , 9092.14 , 64
34 , 0.133812 , 8945.91 , 79
35 , 0.120809 , 8843.31 , 71
36 , 0.185004 , 9349.82 , 71
37 , 4.26345 , 41529.2 , 0
38 , 2.88524 , 30655 , 4
39 , 4.10562 , 40284 , 0
40 , 0.223168 , 9650.94 , 10
41 , 0.136095 , 8963.92 , 80
42 , 5.63175 , 52325.2 , 1
43 , 2.08087 , 24308.5 , 3
44 , 0.226202 , 9674.88 , 13
45 , 0.0973708 , 8658.38 , 70
46 , 0.270826 , 10027 , 81
47 , 0.178826 , 9301.08 , 70
48 , 0.168292 , 9217.96 , 71
49 , 0.236162 , 9753.46 , 15
50 , 0.150526 , 9077.78 , 70
51 , 5.58055 , 51921.3 , 1
52 , 0.185904 , 9356.92 , 2
53 , 0.0680282 , 8426.87 , 79
54 , 0.12043 , 8840.33 , 60
55 , 0.187179 , 9366.98 , 80
56 , 2.52754 , 27832.7 , 1
57 , 0.167899 , 9214.86 , 0
58 , 0.163079 , 9176.83 , 60
59 , 0.176763 , 9284.79 , 59
60 , 0.138621 , 8983.85 , 65
61 , 0.120923 , 8844.21 , 84
62 , 0.0614862 , 8375.25 , 67
63 , 0.348924 , 10643.2 , 1
64 , 0.18742 , 9368.88 , 65
65 , 0.344452 , 10607.9 , 0
66 , 0.173226 , 9256.89 , 77
67 , 4.22507 , 41226.4 , 0
