############### Game theory approach #################
max_gen : 5000
Instance : Denver
Epsilon : 0.1
Temps d'execution : 42598 ms
 ========Hypervolume====
 HV % :111.505
 ========================
(IC best ; SC best) : 133569 ; 634
 Min Nash :   0.272972 : se trouve à la position 1797
 ============================
########################################################
Le nombre de solutions trouvées : 1. Ces solutions sont : 
 (IC ; SC) : 166869 ; 649
#########################

......Les valeurs de nash pour Tout l'ensemble des solutions...

Num Sol, NASHEJ[k] , Interf cost , Sep cost 

..........................

0 , 74.4988 , 9.99683e+06 , 1049
1 , 2.55698 , 152345 , 2166
2 , 3.85665 , 537248 , 1163
3 , 102.514 , 1.38171e+07 , 677
4 , 2.75317 , 350461 , 1350
5 , 2.45318 , 150700 , 2108
6 , 2.4206 , 152458 , 2079
7 , 3.08756 , 333186 , 1644
8 , 12.393 , 1.77919e+06 , 680
9 , 1.82054 , 370205 , 665
10 , 2.36362 , 151378 , 2048
11 , 2.35436 , 151195 , 2043
12 , 0.286271 , 166749 , 658
13 , 2.44757 , 148898 , 2113
14 , 2.35083 , 152619 , 2034
15 , 7.86276 , 1.17704e+06 , 666
16 , 58.4537 , 7.42035e+06 , 3106
17 , 74.0121 , 1.00102e+07 , 677
18 , 2.36203 , 150744 , 2050
19 , 4.81004 , 768033 , 672
20 , 2.50463 , 152094 , 2134
21 , 0.344114 , 166048 , 698
22 , 96.8157 , 1.28207e+07 , 1794
23 , 1.83499 , 368343 , 683
24 , 147.463 , 1.98227e+07 , 669
25 , 7.76307 , 1.16689e+06 , 651
26 , 3.53131 , 562473 , 837
27 , 2.46681 , 154417 , 2099
28 , 3.79738 , 352153 , 2004
29 , 2.42565 , 149130 , 2098
30 , 2.48611 , 149199 , 2136
31 , 2.41041 , 148780 , 2090
32 , 2.46151 , 148862 , 2122
33 , 2.50048 , 149434 , 2144
34 , 2.33379 , 148658 , 2042
35 , 7.80555 , 1.17003e+06 , 663
36 , 2.39515 , 148006 , 2084
37 , 0.844756 , 137482 , 1151
38 , 144.146 , 1.90223e+07 , 2365
39 , 17.0586 , 2.36382e+06 , 863
40 , 2.46958 , 151626 , 2114
41 , 98.5764 , 1.32263e+07 , 985
42 , 2.47106 , 150771 , 2119
43 , 2.32295 , 150160 , 2028
44 , 2.36754 , 148531 , 2064
45 , 39.5095 , 5.36865e+06 , 834
46 , 146.023 , 1.9628e+07 , 680
47 , 6.27483 , 969582 , 644
48 , 0.741249 , 143882 , 1055
49 , 2.37641 , 150348 , 2061
50 , 57.397 , 7.79136e+06 , 675
51 , 2.44397 , 149258 , 2109
52 , 2.3077 , 152758 , 2006
53 , 2.34463 , 148842 , 2048
54 , 2.38872 , 150517 , 2068
55 , 2.3561 , 151006 , 2045
56 , 2.38318 , 149145 , 2071
57 , 19.536 , 2.20195e+06 , 3202
58 , 3.93155 , 350271 , 2098
59 , 42.5078 , 5.80159e+06 , 680
60 , 3.846 , 348746 , 2051
61 , 6.41315 , 960248 , 776
62 , 3.89963 , 349799 , 2080
63 , 115.999 , 1.56226e+07 , 657
64 , 2.41666 , 151089 , 2083
65 , 2.32318 , 151033 , 2024
66 , 2.37868 , 148966 , 2069
67 , 2.45216 , 149089 , 2115
