<<<<<<< HEAD
Key  Value
Sector_Co_Ch_TCH 100000.000000
Sector_Co_Ch_BCCH 100000.000000
Sector_Adj_Ch_TCH 100000.000000
Sector_Adj_Ch_BCCH 100000.000000
Sector_Ch_Sep 1000000.000000
Site_Co_Ch_BCCH_BCCH 1000000.000000
Site_Co_Ch_BCCH_TCH 100000.000000
Site_Co_Ch_TCH_TCH 10000.000000
Site_Adj_Ch_BCCH_BCCH 10000.000000
Site_Adj_Ch_BCCH_TCH 10.000000
Site_Adj_Ch_TCH_TCH 1.000000
Site_Ch_Sep 1000000.000000
Nbr_Co_Ch_BCCH_BCCH 100000.000000
Nbr_Co_Ch_BCCH_TCH 1000.000000
Nbr_Co_Ch_TCH_TCH 0.000000
Nbr_Adj_Ch_BCCH_BCCH 0.000000
Nbr_Adj_Ch_BCCH_TCH 0.000000
Nbr_Adj_Ch_TCH_TCH 0.000000
Nbr2_Co_Ch_BCCH_BCCH 0.000000
Nbr2_Co_Ch_BCCH_TCH 0.000000
Nbr2_Co_Ch_TCH_TCH 0.000000
Adjacent_Channel_Interference_Rejection  18.00
=======
Key  Value
Sector_Co_Ch_TCH 100000.000000
Sector_Co_Ch_BCCH 100000.000000
Sector_Adj_Ch_TCH 100000.000000
Sector_Adj_Ch_BCCH 100000.000000
Sector_Ch_Sep 1000000.000000
Site_Co_Ch_BCCH_BCCH 1000000.000000
Site_Co_Ch_BCCH_TCH 100000.000000
Site_Co_Ch_TCH_TCH 10000.000000
Site_Adj_Ch_BCCH_BCCH 10000.000000
Site_Adj_Ch_BCCH_TCH 10.000000
Site_Adj_Ch_TCH_TCH 1.000000
Site_Ch_Sep 1000000.000000
Nbr_Co_Ch_BCCH_BCCH 100000.000000
Nbr_Co_Ch_BCCH_TCH 1000.000000
Nbr_Co_Ch_TCH_TCH 0.000000
Nbr_Adj_Ch_BCCH_BCCH 0.000000
Nbr_Adj_Ch_BCCH_TCH 0.000000
Nbr_Adj_Ch_TCH_TCH 0.000000
Nbr2_Co_Ch_BCCH_BCCH 0.000000
Nbr2_Co_Ch_BCCH_TCH 0.000000
Nbr2_Co_Ch_TCH_TCH 0.000000
Adjacent_Channel_Interference_Rejection  18.00
>>>>>>> 0514ea9fae0f841576757defb02235a9189b0fad
Signalling_Threshold   6.00
